,logick_number,open,close,run_date
304,113,214.529999,214.949997,2016-07-12
305,187,215.440002,214.919998,2016-07-13
306,247,216.399994,216.119995,2016-07-14
307,398,215.970001,216.410004,2016-07-18
308,419,215.919998,216.190002,2016-07-19
309,468,216.190002,217.089996,2016-07-20
310,357,216.960007,216.270004,2016-07-21
311,346,217.0,216.649994,2016-07-25
312,437,216.529999,216.75,2016-07-26
313,448,217.190002,216.520004,2016-07-27
314,404,216.289993,216.770004,2016-07-28
315,710,217.190002,216.940002,2016-08-01
316,678,216.649994,215.550003,2016-08-02
317,473,215.479996,216.179993,2016-08-03
318,296,216.309998,216.410004,2016-08-04
319,283,218.399994,218.050003,2016-08-08
320,357,218.130005,218.179993,2016-08-09
321,385,218.309998,217.639999,2016-08-10
322,422,218.259995,218.649994,2016-08-11
323,449,218.889999,219.089996,2016-08-15
324,681,218.600006,217.960007,2016-08-16
325,435,218.0,218.369995,2016-08-17
326,367,218.339996,218.860001,2016-08-18
327,349,218.259995,218.529999,2016-08-22
328,447,219.25,218.970001,2016-08-23
329,658,218.800003,217.850006,2016-08-24
330,606,217.399994,217.699997,2016-08-25
331,385,217.440002,218.360001,2016-08-29
332,622,218.259995,218.0,2016-08-30
333,633,217.610001,217.380005,2016-08-31
334,266,217.369995,217.389999,2016-09-01
335,254,218.699997,219.029999,2016-09-06
336,333,218.839996,219.009995,2016-09-07
337,914,218.619995,218.509995,2016-09-08
338,773,212.389999,216.339996,2016-09-12
339,1300,214.839996,213.229996,2016-09-13
340,529,213.289993,213.149994,2016-09-14
341,316,212.960007,215.279999,2016-09-15
342,291,214.130005,213.410004,2016-09-19
343,171,214.410004,213.419998,2016-09-20
344,107,214.240005,215.820007,2016-09-21
345,150,217.0,217.179993,2016-09-22
346,588,215.020004,214.240005,2016-09-26
347,336,214.050003,215.570007,2016-09-27
348,481,215.830002,216.639999,2016-09-28
349,486,216.399994,214.679993,2016-09-29
350,598,215.820007,215.779999,2016-10-03
351,562,215.910004,214.679993,2016-10-04
352,497,215.410004,215.630005,2016-10-05
353,586,215.369995,215.779999,2016-10-06
354,491,216.160004,216.160004,2016-10-10
355,846,215.660004,213.429993,2016-10-11
356,946,213.589996,213.710007,2016-10-12
357,955,212.160004,213.009995,2016-10-13
358,495,213.089996,212.380005,2016-10-17
359,280,214.240005,213.710007,2016-10-18
360,326,214.020004,214.279999,2016-10-19
361,449,213.869995,213.880005,2016-10-20
362,444,215.0,214.889999,2016-10-24
363,752,214.679993,214.169998,2016-10-25
364,967,213.210007,213.740005,2016-10-26
365,958,214.580002,213.169998,2016-10-27
366,670,212.929993,212.550003,2016-10-31
367,1001,212.929993,211.009995,2016-11-01
368,970,210.649994,209.740005,2016-11-02
369,717,209.990005,208.779999,2016-11-03
370,133,208.550003,213.149994,2016-11-07
371,99,212.690002,214.110001,2016-11-08
372,166,212.369995,216.380005,2016-11-09
373,128,217.029999,216.589996,2016-11-14
374,114,217.039993,218.279999,2016-11-15
375,140,217.559998,217.869995,2016-11-16
376,179,218.050003,218.990005,2016-11-17
377,162,219.169998,220.149994,2016-11-21
378,160,220.509995,220.580002,2016-11-22
379,689,221.160004,220.479996,2016-11-28
380,625,220.520004,220.910004,2016-11-29
381,720,221.630005,220.380005,2016-11-30
382,714,220.729996,219.570007,2016-12-01
383,155,220.649994,221.0,2016-12-05
384,143,221.220001,221.699997,2016-12-06
385,145,221.520004,224.600006,2016-12-07
386,155,224.570007,225.149994,2016-12-08
387,487,226.399994,226.25,2016-12-12
388,733,227.020004,227.759995,2016-12-13
389,700,227.410004,225.880005,2016-12-14
390,522,226.160004,226.809998,2016-12-15
391,280,225.25,225.529999,2016-12-19
392,271,226.149994,226.399994,2016-12-20
393,535,226.25,225.770004,2016-12-21
394,508,225.600006,225.380005,2016-12-22
395,413,226.020004,226.270004,2016-12-27
396,892,226.570007,224.399994,2016-12-28
397,914,224.479996,224.350006,2016-12-29
398,201,225.039993,225.240005,2017-01-03
399,223,225.619995,226.580002,2017-01-04
400,539,226.270004,226.399994,2017-01-05
401,565,226.910004,226.460007,2017-01-09
402,332,226.479996,226.460007,2017-01-10
403,433,226.360001,227.100006,2017-01-11
404,418,226.5,226.529999,2017-01-12
405,601,226.309998,226.25,2017-01-17
406,629,226.539993,226.75,2017-01-18
407,551,226.839996,225.910004,2017-01-19
408,269,226.740005,226.149994,2017-01-23
409,171,226.399994,227.600006,2017-01-24
410,178,228.699997,229.570007,2017-01-25
411,310,229.399994,229.330002,2017-01-26
412,894,228.169998,227.550003,2017-01-30
413,657,226.979996,227.529999,2017-01-31
414,671,227.529999,227.619995,2017-02-01
415,234,227.619995,227.770004,2017-02-02
416,490,228.869995,228.929993,2017-02-06
417,715,229.380005,228.940002,2017-02-07
418,349,228.940002,229.240005,2017-02-08
419,200,229.240005,230.600006,2017-02-09
420,225,232.080002,232.770004,2017-02-13
421,226,232.559998,233.699997,2017-02-14
422,311,233.449997,234.919998,2017-02-15
423,463,234.949997,234.720001,2017-02-16
424,409,235.520004,236.490005,2017-02-21
425,635,236.020004,236.279999,2017-02-22
426,777,236.880005,236.440002,2017-02-23
427,639,236.639999,237.110001,2017-02-27
428,292,236.669998,236.470001,2017-02-28
429,264,238.389999,239.779999,2017-03-01
430,417,239.559998,238.270004,2017-03-02
431,999,237.5,237.710007,2017-03-06
432,1108,237.360001,237.0,2017-03-07
433,1122,237.339996,236.559998,2017-03-08
434,785,236.699997,236.860001,2017-03-09
435,461,237.619995,237.809998,2017-03-13
436,307,237.179993,236.899994,2017-03-14
437,189,237.559998,238.949997,2017-03-15
438,211,239.110001,238.479996,2017-03-16
439,874,237.029999,236.770004,2017-03-20
440,1317,237.470001,233.729996,2017-03-21
441,748,233.770004,234.279999,2017-03-22
442,501,234.279999,234.029999,2017-03-23
443,229,231.929993,233.619995,2017-03-27
444,201,233.270004,235.320007,2017-03-28
445,241,234.990005,235.539993,2017-03-29
446,263,235.470001,236.289993,2017-03-30
447,675,235.800003,235.330002,2017-04-03
448,894,235.0,235.479996,2017-04-04
449,596,236.259995,234.779999,2017-04-05
450,396,234.940002,235.440002,2017-04-06
451,378,235.360001,235.339996,2017-04-10
452,516,234.899994,235.059998,2017-04-11
453,1071,234.740005,234.029999,2017-04-12
454,1071,233.639999,232.509995,2017-04-13
455,344,233.110001,234.570007,2017-04-17
456,363,233.720001,233.869995,2017-04-18
457,290,234.520004,233.440002,2017-04-19
458,269,234.149994,235.339996,2017-04-20
459,161,237.179993,237.169998,2017-04-24
460,136,237.910004,238.550003,2017-04-25
461,221,238.509995,238.399994,2017-04-26
462,416,238.770004,238.600006,2017-04-27
463,485,238.679993,238.679993,2017-05-01
464,658,238.839996,238.770004,2017-05-02
465,701,238.770004,238.479996,2017-05-03
466,472,238.830002,238.759995,2017-05-04
467,428,239.75,239.660004,2017-05-08
468,454,239.960007,239.440002,2017-05-09
469,517,239.389999,239.869995,2017-05-10
470,740,239.350006,239.380005,2017-05-11
471,321,239.470001,240.300003,2017-05-15
472,545,240.639999,240.080002,2017-05-16
473,1014,240.080002,235.820007,2017-05-17
474,422,235.729996,236.770004,2017-05-18
475,160,238.899994,239.520004,2017-05-22
476,230,239.949997,240.050003,2017-05-23
477,278,240.320007,240.610001,2017-05-24
478,322,241.199997,241.759995,2017-05-25
479,574,241.339996,241.5,2017-05-30
480,204,241.839996,241.440002,2017-05-31
481,141,241.970001,243.360001,2017-06-01
482,384,243.970001,243.990005,2017-06-05
483,469,243.339996,243.210007,2017-06-06
484,363,243.600006,243.660004,2017-06-07
485,382,243.770004,243.779999,2017-06-08
486,410,243.130005,243.360001,2017-06-12
487,362,243.979996,244.550003,2017-06-13
488,521,244.860001,244.240005,2017-06-14
489,583,242.679993,243.770004,2017-06-15
490,418,243.589996,244.660004,2017-06-19
491,750,244.25,243.009995,2017-06-20
492,724,243.460007,242.949997,2017-06-21
493,478,242.960007,242.839996,2017-06-22
494,404,243.899994,243.289993,2017-06-26
495,336,243.039993,241.330002,2017-06-27
496,357,242.5,243.490005,2017-06-28
497,529,243.660004,241.350006,2017-06-29
498,561,242.630005,242.770004,2017-07-05
499,393,241.889999,240.550003,2017-07-06
500,350,242.110001,242.369995,2017-07-10
501,214,242.369995,242.190002,2017-07-11
502,181,243.300003,244.009995,2017-07-12
503,233,244.020004,244.419998,2017-07-13
504,383,245.470001,245.529999,2017-07-17
505,337,245.059998,245.660004,2017-07-18
506,278,246.020004,246.990005,2017-07-19
507,378,247.279999,247.100006,2017-07-20
508,328,246.789993,246.820007,2017-07-24
509,334,247.679993,247.419998,2017-07-25
510,529,247.75,247.429993,2017-07-26
511,699,247.960007,247.199997,2017-07-27
512,490,247.369995,246.770004,2017-07-31
513,523,247.460007,247.320007,2017-08-01
514,684,247.470001,247.440002,2017-08-02
515,516,247.309998,246.960007,2017-08-03
516,400,247.490005,247.869995,2017-08-07
517,586,247.509995,247.259995,2017-08-08
518,940,246.470001,247.25,2017-08-09
519,978,246.289993,243.759995,2017-08-10
520,155,245.589996,246.539993,2017-08-14
521,203,246.979996,246.509995,2017-08-15
522,428,247.110001,246.940002,2017-08-16
523,736,246.240005,243.089996,2017-08-17
524,245,242.639999,242.899994,2017-08-21
525,191,243.570007,245.440002,2017-08-22
526,232,244.330002,244.559998,2017-08-23
527,211,245.0,243.990005,2017-08-24
528,274,245.169998,244.570007,2017-08-28
529,256,243.059998,244.850006,2017-08-29
530,166,244.830002,246.009995,2017-08-30
531,139,246.720001,247.490005,2017-08-31
532,372,247.259995,246.059998,2017-09-05
533,368,246.839996,246.899994,2017-09-06
534,322,247.25,246.869995,2017-09-07
535,148,248.039993,249.210007,2017-09-11
536,256,249.630005,250.050003,2017-09-12
537,334,249.720001,250.169998,2017-09-13
538,322,249.800003,250.089996,2017-09-14
539,311,249.610001,249.720001,2017-09-18
540,363,250.0,249.970001,2017-09-19
541,424,250.070007,250.059998,2017-09-20
542,407,249.880005,249.389999,2017-09-21
543,490,249.149994,248.929993,2017-09-25
544,313,249.419998,249.080002,2017-09-26
545,251,249.880005,250.050003,2017-09-27
546,218,249.729996,250.350006,2017-09-28
547,160,251.490005,252.320007,2017-10-02
548,196,252.320007,252.860001,2017-10-03
549,212,252.690002,253.160004,2017-10-04
550,279,253.539993,254.660004,2017-10-05
551,422,254.630005,253.949997,2017-10-09
552,376,254.600006,254.619995,2017-10-10
553,437,254.509995,255.020004,2017-10-11
554,546,254.660004,254.639999,2017-10-12
555,556,255.210007,255.289993,2017-10-16
556,536,255.229996,255.470001,2017-10-17
557,484,255.899994,255.720001,2017-10-18
558,399,254.830002,255.789993,2017-10-19
559,579,257.480011,256.109985,2017-10-23
560,596,256.600006,256.559998,2017-10-24
561,607,256.179993,255.289993,2017-10-25
562,385,255.990005,255.619995,2017-10-26
563,467,256.470001,256.75,2017-10-30
564,404,257.179993,257.149994,2017-10-31
565,344,258.040009,257.48999,2017-11-01
566,347,257.410004,257.589996,2017-11-02
567,516,258.299988,258.850006,2017-11-06
568,638,258.970001,258.670013,2017-11-07
569,621,258.470001,259.109985,2017-11-08
570,680,257.730011,258.170013,2017-11-09
571,548,257.309998,258.329987,2017-11-13
572,657,257.410004,257.730011,2017-11-14
573,282,256.619995,256.440002,2017-11-15
574,166,257.519989,258.619995,2017-11-16
575,166,258.140015,258.299988,2017-11-20
576,158,259.179993,259.98999,2017-11-21
577,239,260.410004,260.230011,2017-11-27
578,326,260.76001,262.869995,2017-11-28
579,418,263.019989,262.709991,2017-11-29
580,395,263.76001,265.01001,2017-11-30
581,796,266.309998,264.140015,2017-12-04
582,914,263.190002,263.190002,2017-12-05
583,640,263.299988,263.23999,2017-12-06
584,455,264.070007,264.070007,2017-12-07
585,534,266.309998,266.309998,2017-12-11
586,455,267.209991,266.779999,2017-12-12
587,621,267.059998,266.75,2017-12-13
588,349,267.089996,265.660004,2017-12-14
589,201,268.100006,268.200012,2017-12-18
590,298,268.480011,267.170013,2017-12-19
591,308,268.269989,267.029999,2017-12-20
592,372,267.73999,267.579987,2017-12-21
593,512,267.049988,267.190002,2017-12-26
594,374,267.380005,267.320007,2017-12-27
595,502,267.890015,267.869995,2017-12-28
596,396,267.839996,268.769989,2018-01-02
597,332,268.959991,270.470001,2018-01-03
598,280,271.200012,271.609985,2018-01-04
599,388,273.309998,273.920013,2018-01-08
600,501,274.399994,274.540009,2018-01-09
601,274,273.679993,274.119995,2018-01-10
602,201,274.75,276.119995,2018-01-11
603,386,279.350006,276.970001,2018-01-16
604,369,278.029999,279.609985,2018-01-17
605,302,279.480011,279.140015,2018-01-18
606,233,280.170013,282.690002,2018-01-22
607,358,282.73999,283.290009,2018-01-23
608,575,284.019989,283.179993,2018-01-24
609,461,284.160004,283.299988,2018-01-25
610,1093,285.929993,284.679993,2018-01-29
611,1292,282.600006,281.76001,2018-01-30
612,915,282.730011,281.899994,2018-01-31
613,1051,281.070007,281.579987,2018-02-01
614,1459,273.450012,263.929993,2018-02-05
615,681,259.940002,269.130005,2018-02-06
616,792,268.5,267.670013,2018-02-07
617,818,268.01001,257.630005,2018-02-08
618,174,263.829987,265.339996,2018-02-12
619,92,263.970001,266.0,2018-02-13
620,88,264.309998,269.589996,2018-02-14
621,102,271.570007,273.029999,2018-02-15
622,380,272.029999,271.399994,2018-02-20
623,386,271.899994,270.049988,2018-02-21
624,271,271.100006,270.399994,2018-02-22
625,238,275.929993,277.899994,2018-02-26
626,767,278.109985,274.429993,2018-02-27
627,1020,275.679993,271.649994,2018-02-28
628,486,271.410004,267.700012,2018-03-01
629,140,267.730011,272.190002,2018-03-05
630,156,273.299988,272.880005,2018-03-06
631,200,270.420013,272.779999,2018-03-07
632,140,273.549988,274.100006,2018-03-08
633,241,279.200012,278.519989,2018-03-12
634,465,279.839996,276.720001,2018-03-13
635,676,277.809998,275.299988,2018-03-14
636,463,275.880005,275.0,2018-03-15
637,587,273.350006,270.48999,2018-03-19
638,394,270.940002,270.950012,2018-03-20
